"parameter","n_eff","Rhat"
"(Intercept)",7662.19725291746,1.0000949209155
"education_z",11356.7211619405,1.00032426843082
"age_z",9233.67667225784,1.00019465316166
"age_z2",8458.21904822897,0.999943000035688
"hours_z",13155.2037432798,1.00019083362792
"sex_male",9129.77340513043,0.999937377868435
"married",8304.56651051165,1.00001446019886
"capital_gain_ind",12308.283491205,1.00011385121037
