"parameter","opis","prior_location","posterior_mean","posterior_median","posterior_sd","HPDI_lower","HPDI_upper","P_beta_gt_0","P_beta_lt_0","OR_mean","OR_median","OR_HPDI_lower","OR_HPDI_upper","prior_density_0","posterior_density_0","BF_01","BF_10"
"(Intercept)","wyraz wolny",-1.09861228866811,-2.40842906487876,-2.39865216382266,0.305769611895737,-3.00941789869969,-1.81751422499984,0,1,0.0941765343409673,0.0908403086681437,0.044978525970446,0.151929648044122,0.188797361881125,7.40498690582633e-06,3.92218770010612e-05,25495.9751154424
"education_z","edukacja, +1 SD",0.470003629245736,0.658422485957483,0.654186677727082,0.121986241891995,0.423741296138724,0.898480974980171,1,0,1.94623116343613,1.92357739281754,1.48856435313979,2.41014045728233,0.422597503966127,2.4965063357626e-05,5.90752740452227e-05,16927.5558372271
"age_z","wiek, +1 SD",0.262364264467491,0.614816047963867,0.609555120897717,0.169049085752089,0.30021552109923,0.968181684281965,0.999916666666667,8.33333333333333e-05,1.87616022931546,1.83961281176579,1.29100867606355,2.5370972485899,0.771337442645997,0.00260683822464553,0.00337963397148598,295.89003082494
"age_z2","kwadrat wieku",-0.162518929497775,-0.374011281439595,-0.370225319342798,0.127202456268246,-0.622332442954214,-0.123839116951602,0.000583333333333333,0.999416666666667,0.693511138334866,0.690578712663428,0.522039817447905,0.865271959491004,1.04722167329003,0.0278598239348448,0.0266035593470085,37.5889551828878
"hours_z","godziny pracy, +1 SD",0.22314355131421,0.208666024448368,0.209857542090406,0.124369274529417,-0.0367520003840631,0.450960195401681,0.952666666666667,0.0473333333333333,1.24159389378481,1.23350232578524,0.955509235274871,1.55904434356745,0.9041798159815,0.776108868302568,0.858356772164938,1.16501673013869
"sex_male","mężczyzna",0.336472236621213,0.215329050921677,0.215549402749558,0.277609220419791,-0.334440155602783,0.7565450701362,0.788666666666667,0.211333333333333,1.28882354825885,1.24054326767478,0.67401075996953,2.05735822918919,0.600863547208156,1.03864820466459,1.72859247243496,0.578505353891401
"married","w małżeństwie",0.693147180559945,1.79624882400265,1.78975264672207,0.306266943400704,1.22630153389784,2.40155751097098,1,0,6.32180159721173,5.98797113905627,3.06405459517307,10.3879654358755,0.260121236907791,7.31739133955665e-06,2.8130695619253e-05,35548.356625621
"capital_gain_ind","dodatnie zyski kapitałowe",1.09861228866811,1.68413360902506,1.67195089587044,0.385504184057928,0.942008356905304,2.4409427015037,1,0,5.81546679038696,5.32254140393955,2.10305771613772,10.4477569399148,0.161424981563712,5.81322991072723e-06,3.60119595766089e-05,27768.5527740494
