"parameter","opis","OR_mean","OR_median","OR_HPDI_lower","OR_HPDI_upper"
"(Intercept)","wyraz wolny",0.0941765343409673,0.0908403086681437,0.044978525970446,0.151929648044122
"education_z","edukacja, +1 SD",1.94623116343613,1.92357739281754,1.48856435313979,2.41014045728233
"age_z","wiek, +1 SD",1.87616022931546,1.83961281176579,1.29100867606355,2.5370972485899
"age_z2","kwadrat wieku",0.693511138334866,0.690578712663428,0.522039817447905,0.865271959491004
"hours_z","godziny pracy, +1 SD",1.24159389378481,1.23350232578524,0.955509235274871,1.55904434356745
"sex_male","mężczyzna",1.28882354825885,1.24054326767478,0.67401075996953,2.05735822918919
"married","w małżeństwie",6.32180159721173,5.98797113905627,3.06405459517307,10.3879654358755
"capital_gain_ind","dodatnie zyski kapitałowe",5.81546679038696,5.32254140393955,2.10305771613772,10.4477569399148
